date, pm25, pm10, o3, no2, so2, co
2020/2/2, 15, 5, 25, 7, 3, 
2020/2/3, 13, 9, 28, 5, 3, 
2020/2/4, 22, 10, 26, 14, 4, 1
2020/2/5, 21, 11, 22, 9, 3, 1
2020/2/6, 24, 13, 19, 10, 2, 1
2020/2/7, 38, 16, 14, 16, 2, 1
2020/2/8, 42, 6, 31, 2, 1, 
2020/2/9, 16, 1, 22, 10, 1, 
2020/2/10, 5, , , , , 
2020/1/2, 58, 7, 25, 1, 1, 
2020/1/3, 20, 10, 24, 9, 2, 
2020/1/4, 22, 5, 24, 5, 2, 
2020/1/5, 13, 2, 25, 1, 1, 
2020/1/6, 6, 2, 27, , 1, 
2020/1/7, 5, 3, 24, 1, , 
2020/1/8, 7, 9, 23, 5, 2, 
2020/1/9, 21, 9, 19, 13, 1, 
2020/1/10, 25, 7, 26, 9, 1, 5
2020/1/11, 21, 2, 26, 4, 3, 5
2020/1/12, 5, 5, 24, 3, 3, 5
2020/1/13, 14, 6, 26, 2, 3, 3
2020/1/14, 14, 6, 26, 3, 2, 
2020/1/15, 15, 8, 26, 1, 2, 
2020/1/16, 19, 7, 24, 2, 2, 
2020/1/17, 16, 10, 23, 6, 2, 
2020/1/18, 23, 8, 18, 15, 3, 
2020/1/19, 18, 7, 21, 5, 2, 
2020/1/20, 16, 9, 21, 4, 2, 
2020/1/21, 23, 5, 19, 7, 1, 
2020/1/22, 14, 6, 21, 10, 1, 
2020/1/23, 16, 4, 21, 6, 1, 
2020/1/24, 10, 3, , 7, , 
2020/1/25, 7, 3, , 2, , 
2020/1/26, 12, 7, , 3, 1, 
2020/1/27, 19, 7, 18, 5, , 
2020/1/28, 15, 4, 20, 5, , 
2020/1/29, 9, 6, 23, 4, , 
2020/1/30, 14, , , , , 
2020/2/1, 14, 5, 29, 8, 1, 
2019/10/1, 11, 5, 18, 12, , 
2019/10/2, 11, 7, 15, 10, 2, 
2019/10/3, 17, 8, 24, 5, 2, 
2019/10/4, 19, 7, 18, 5, 2, 
2019/10/5, 15, 6, 22, 5, 2, 
2019/10/6, 17, 7, 20, 4, 2, 
2019/10/7, 19, 8, 22, 3, 3, 
2019/10/8, 19, 7, 23, 3, 3, 
2019/10/9, 17, 6, 23, 5, 3, 
2019/10/10, 14, 8, 21, 3, 4, 
2019/10/11, 18, 5, 21, 5, 4, 
2019/10/12, 10, 7, 11, 11, 4, 
2019/10/13, 21, 7, 12, 13, 4, 1
2019/10/14, 20, 9, 16, 13, 2, 1
2019/10/15, 27, 8, 17, 11, 1, 
2019/10/16, 21, 8, 14, 12, 2, 1
2019/10/17, 18, 8, 13, 14, 2, 1
2019/10/18, 25, 6, 25, 8, 2, 
2019/10/19, 14, 5, 23, 7, 2, 1
2019/10/20, 10, 5, 23, 11, 2, 1
2019/10/21, 10, 4, 24, 4, 2, 1
2019/10/22, 11, 5, 25, 4, 2, 
2019/10/23, 13, 4, 21, 8, 2, 
2019/10/24, 9, 6, 23, 6, 2, 2
2019/10/25, 13, 4, 24, 2, 1, 1
2019/10/26, 9, 5, 21, 8, 2, 1
2019/10/28, 13, 6, 17, 14, 2, 2
2019/10/29, 13, 6, 23, 8, 2, 1
2019/10/30, 12, 5, 21, 9, 2, 1
2019/10/31, 10, 11, 21, 7, 2, 1
2019/11/1, 32, 9, 8, 6, 2, 2
2019/11/2, 32, 6, 11, 11, 2, 
2019/11/3, 18, 13, 20, 3, 2, 
2019/11/4, 29, 9, 22, 2, 3, 
2019/11/5, 21, 12, 22, 10, 3, 1
2019/11/6, 26, 12, 17, 9, 3, 2
2019/11/7, 33, 6, 25, 3, 3, 1
2019/11/8, 13, 9, 21, 14, 2, 2
2019/11/9, 17, 8, 22, 8, 3, 2
2019/11/10, 18, 7, 21, 9, 3, 1
2019/11/11, 17, 3, 20, 8, 3, 1
2019/11/12, 8, 3, 13, 11, 3, 1
2019/11/13, 7, 7, 10, 15, 4, 2
2019/11/14, 18, 5, 16, 12, 2, 1
2019/11/15, 10, 5, 19, 7, 1, 1
2019/11/16, 11, 9, 10, 15, 1, 1
2019/11/17, 27, 11, 3, 18, 2, 3
2019/11/18, 40, 11, 8, 24, 2, 3
2019/11/19, 30, 8, 8, 19, 2, 3
2019/11/20, 23, 13, 13, 9, 1, 1
2019/11/21, 47, 9, 21, 3, 2, 
2019/11/22, 27, 11, 21, 6, 1, 1
2019/11/23, 33, 14, 19, 2, , 
2019/11/24, 41, 16, 8, 4, , 
2019/11/25, 50, 12, 13, 6, , 
2019/11/26, 44, 7, 10, 4, 1, 
2019/11/27, 24, 6, 12, 11, 1, 
2019/11/28, 21, 7, 20, 8, 1, 
2019/11/29, 14, 10, 9, 24, 1, 
2019/11/30, 24, 16, 1, 29, 2, 1
2019/12/1, 50, 8, 10, 20, 4, 
2019/12/2, 27, 5, 19, 8, 4, 
2019/12/3, 13, 9, 21, 10, 4, 
2019/12/4, 27, 8, 24, 3, 5, 
2019/12/5, 18, 4, 25, 2, 5, 
2019/12/6, 9, 4, 24, 10, 5, 
2019/12/7, 10, 2, 23, 3, 6, 
2019/12/8, 6, 4, 30, 2, 6, 
2019/12/9, 11, 9, 20, 12, 5, 
2019/12/10, 18, 4, 26, 2, 6, 
2019/12/11, 11, 5, 27, 2, 6, 
2019/12/12, 13, 8, 25, 8, 6, 
2019/12/13, 23, 6, 12, 18, 5, 
2019/12/14, 20, 3, 24, 4, 2, 
2019/12/15, 7, 7, 24, 4, 2, 
2019/12/16, 17, 5, 23, 4, 1, 
2019/12/17, 12, 4, 21, 9, , 
2019/12/18, 11, 6, 16, 12, , 
2019/12/19, 18, 7, 12, 13, 1, 
2019/12/20, 22, 4, 22, 11, 1, 
2019/12/21, 13, 5, 19, 10, 2, 
2019/12/22, 19, 8, 14, 15, 2, 
2019/12/23, 29, 5, 22, 5, 3, 
2019/12/24, 13, 6, 20, 14, 1, 
2019/12/25, 17, 6, 20, 9, 1, 
2019/12/26, 21, 6, 21, 3, 1, 
2019/12/27, 20, 4, 18, 7, 1, 
2019/12/28, 13, 6, 23, 2, 2, 
2019/12/29, 18, , , , , 
2019/7/1, 20, 10, 22, 8, , 
2019/7/2, 22, 9, 18, 7, 2, 
2019/7/3, 24, 8, 15, 7, 2, 
2019/7/4, 18, 4, 16, 5, 3, 
2019/7/5, 10, 6, 21, 3, 3, 
2019/7/6, 18, 6, 23, 3, 3, 
2019/7/7, 14, 11, 21, 7, 3, 
2019/7/8, 22, 11, 13, 7, 3, 
2019/7/9, 36, , 14, 6, 4, 
2019/7/12, 20, 6, 18, 5, 4, 
2019/7/13, 16, 8, 22, 3, 4, 
2019/7/14, 19, 10, 23, 5, 5, 
2019/7/15, 26, 13, 26, 6, 5, 1
2019/7/16, 42, 11, 20, 4, 6, 1
2019/7/17, 29, , , , , 
2019/7/20, 17, 4, 15, , , 
2019/7/21, 11, 10, 13, , 1, 
2019/7/22, 18, 9, 12, , , 
2019/7/23, 24, 17, 22, , 1, 
2019/7/24, 44, 15, , , , 
2019/7/25, 34, 9, 15, , 5, 
2019/7/26, 22, 5, 17, 33, 7, 
2019/7/27, 12, 14, 27, 32, 7, 
2019/7/28, 41, 11, 27, , 8, 
2019/7/29, 32, 8, 22, 3, 8, 
2019/7/30, 21, 10, 28, 4, 2, 
2019/7/31, 31, 8, 21, 4, 1, 
2019/8/1, 22, 7, 22, 4, , 
2019/8/2, 16, 7, 20, 4, 1, 
2019/8/3, 18, 10, 22, 4, 3, 
2019/8/4, 30, 6, 18, 2, 4, 
2019/8/5, 15, 6, 16, 6, 5, 
2019/8/6, 15, 5, 15, 10, 5, 
2019/8/7, 11, 5, 22, 7, 4, 
2019/8/8, 9, 8, 22, 5, 5, 
2019/8/9, 18, 8, 20, 7, 7, 
2019/8/10, 18, 3, 16, 6, 5, 
2019/8/11, 6, 5, 18, 8, 4, 
2019/8/12, 12, 6, 20, 8, 3, 
2019/8/13, 14, 5, 17, 11, 5, 
2019/8/14, 14, 6, 16, 7, 5, 
2019/8/15, 12, 4, 17, 19, 6, 
2019/8/16, 11, 8, 20, 15, 7, 
2019/8/17, 17, 8, 20, 13, 7, 
2019/8/18, 18, 11, 17, 7, 5, 
2019/8/19, 20, 7, 18, 13, 3, 9
2019/8/20, 16, 5, 18, 5, 3, 7
2019/8/21, 15, 6, 21, 4, 4, 5
2019/8/22, 14, 6, 16, 3, 3, 4
2019/8/23, 17, 11, 34, 8, 4, 5
2019/8/24, 28, 19, 29, 12, 4, 5
2019/8/25, 57, 11, 29, 6, 4, 4
2019/8/26, 33, 12, 18, 10, 4, 4
2019/8/27, 30, 5, 21, 6, 6, 3
2019/8/28, 11, 7, 19, 3, 5, 
2019/8/29, 16, 7, 18, 2, 6, 
2019/8/30, 20, , , , , 
2019/9/1, 10, 3, 20, 4, 5, 
2019/9/2, 6, 2, 17, 4, 5, 
2019/9/3, 3, 6, 18, 4, 6, 
2019/9/4, 12, 10, 19, 7, 4, 
2019/9/5, 22, 6, 17, 9, 11, 
2019/9/6, 13, 4, 22, 9, 3, 
2019/9/7, 8, 4, 18, 7, 4, 
2019/9/8, 12, 5, 13, 8, 6, 
2019/9/9, 14, 5, 15, 7, 5, 
2019/9/10, 14, 7, 16, 5, 7, 
2019/9/11, 15, 6, 16, 8, 4, 
2019/9/12, 13, 11, 16, 10, 2, 
2019/9/13, 22, 6, 20, 3, 4, 
2019/9/14, 14, 17, 18, 11, 4, 
2019/9/15, 37, 10, 17, 10, 4, 
2019/9/16, 20, 10, 18, 12, 4, 1
2019/9/17, 21, 8, 11, 12, 2, 
2019/9/18, 18, 6, 16, 9, 3, 
2019/9/19, 17, 13, 19, 14, 5, 
2019/9/20, 35, 13, 22, 6, 7, 
2019/9/21, 32, 17, 15, 10, 9, 
2019/9/22, 48, 6, 19, 7, 9, 
2019/9/23, 17, 6, 12, 7, 11, 
2019/9/24, 16, 6, 16, 8, 11, 
2019/9/25, 18, 5, 17, 5, 12, 
2019/9/26, 11, 5, 15, 8, 8, 
2019/9/27, 11, 4, 15, 5, 1, 
2019/9/28, 10, 9, 21, 6, 1, 1
2019/9/29, 23, 3, 23, 3, , 
2019/9/30, 8, 6, 25, 7, , 
2019/4/1, 15, 8, 26, 12, 9, 
2019/4/2, 21, 5, 31, 8, 9, 
2019/4/3, 14, 7, 37, 3, 9, 
2019/4/4, 16, 26, 33, 5, 8, 
2019/4/5, 65, 24, 29, 12, 8, 
2019/4/6, 66, 26, 35, 4, 8, 
2019/4/7, 61, 24, 35, 2, 6, 
2019/4/8, 45, 18, 35, 4, 4, 
2019/4/9, 39, 15, 35, 12, 4, 
2019/4/10, 42, 21, 30, 11, 4, 1
2019/4/11, 51, 18, 31, 11, 4, 1
2019/4/12, 50, 10, 36, 4, 3, 
2019/4/13, 31, 11, 34, 3, 4, 
2019/4/14, 27, 19, 34, 4, 5, 
2019/4/15, 51, 33, 32, 5, 5, 
2019/4/16, 66, 28, 34, 5, 5, 
2019/4/17, 56, 38, 33, 8, 5, 
2019/4/18, 74, 36, 31, 16, 5, 
2019/4/19, 71, 36, 48, 21, 6, 
2019/4/20, 84, 28, 57, 11, 7, 
2019/4/21, 78, 28, 57, 8, 9, 
2019/4/22, 75, 39, 41, 8, 10, 
2019/4/23, 69, 59, 39, 5, 11, 
2019/4/24, 85, 14, 31, 8, 11, 
2019/4/25, 31, 7, 28, 6, 11, 
2019/4/26, 15, 11, 27, 5, 12, 
2019/4/27, 28, 10, 33, 5, 8, 
2019/4/28, 21, 20, 27, 7, 8, 
